,date,open,close,high,low,volume,code
74,2010-04-26,-58.695,-60.25,-58.26,-60.273,107036.13,600519
75,2010-04-27,-60.281,-63.241,-60.281,-63.429,58234.48,600519
76,2010-04-28,-63.954,-63.857,-62.903,-64.706,26287.43,600519
77,2010-04-29,-63.534,-62.264,-61.505,-63.534,34501.2,600519
78,2010-04-30,-64.383,-66.186,-64.383,-67.148,85566.7,600519
79,2010-05-04,-66.967,-66.479,-65.788,-67.794,23975.16,600519
80,2010-05-05,-67.11,-64.864,-64.525,-67.486,33838.78,600519
81,2010-05-06,-64.706,-67.448,-64.706,-67.486,28240.34,600519
82,2010-05-07,-68.462,-65.45,-65.179,-68.838,31254.76,600519
83,2010-05-10,-63.954,-62.797,-60.949,-63.954,66192.58,600519
84,2010-05-11,-61.257,-62.707,-60.949,-63.331,33632.41,600519
85,2010-05-12,-62.985,-63.068,-62.452,-65.457,21643.19,600519
86,2010-05-13,-63.03,-61.798,-61.175,-63.03,27049.54,600519
87,2010-05-14,-61.791,-61.738,-60.867,-62.452,18126.16,600519
88,2010-05-17,-61.926,-65.607,-61.926,-65.758,17643.59,600519
89,2010-05-18,-65.457,-65.374,-64.728,-68.327,26037.47,600519
90,2010-05-19,-65.081,-65.585,-64.556,-66.945,10798.97,600519
91,2010-05-20,-65.87,-64.345,-62.955,-66.201,22740.45,600519
92,2010-05-21,-65.908,-62.294,-62.001,-66.607,27341.38,600519
93,2010-05-24,-61.708,-60.972,-60.574,-62.226,29783.47,600519
94,2010-05-25,-61.25,-64.518,-61.25,-64.894,22050.77,600519
95,2010-05-26,-64.33,-64.0,-63.459,-65.337,11025.31,600519
96,2010-05-31,-62.827,-64.045,-61.535,-64.045,23549.88,600519
97,2010-06-01,-64.142,-63.481,-62.858,-65.081,23525.57,600519
98,2010-06-02,-63.534,-62.332,-62.151,-64.217,21889.44,600519
99,2010-06-03,-61.708,-61.678,-60.574,-62.903,24949.42,600519
100,2010-06-04,-61.753,-59.356,-59.146,-62.294,30036.43,600519
101,2010-06-07,-60.198,-57.148,-56.238,-60.949,38125.07,600519
102,2010-06-08,-57.148,-57.854,-56.531,-58.695,14394.78,600519
103,2010-06-09,-57.779,-56.877,-55.991,-57.884,18053.93,600519
104,2010-06-10,-56.892,-56.93,-55.991,-57.546,11781.27,600519
105,2010-06-11,-56.764,-58.913,-56.066,-59.026,19572.75,600519
106,2010-06-17,-58.545,-60.589,-58.327,-60.716,12523.71,600519
107,2010-06-18,-60.942,-63.759,-60.348,-64.698,20102.29,600519
108,2010-06-21,-63.654,-62.121,-62.076,-64.556,18954.01,600519
109,2010-06-22,-63.008,-63.812,-62.497,-64.405,20779.1,600519
110,2010-06-23,-63.954,-64.18,-63.293,-64.39,12812.76,600519
111,2010-06-24,-64.022,-65.48,-63.601,-65.698,24344.03,600519
112,2010-06-25,-65.607,-65.066,-64.706,-66.336,19011.35,600519
113,2010-06-28,-65.307,-66.952,-65.292,-67.102,14816.98,600519
114,2010-06-29,-66.577,-68.26,-65.915,-68.831,27782.66,600519
115,2010-06-30,-68.462,-67.441,-67.335,-68.725,17824.12,600519
116,2010-07-01,-67.072,-67.696,-67.072,-68.087,7449.69,600519
117,2010-07-02,-68.049,-67.2,-66.133,-68.049,16452.7,600519
118,2010-07-05,-67.197,-67.715,-66.971,-68.654,14040.74,600519
119,2010-07-06,-67.647,-66.37,-65.95,-68.324,15306.43,600519
120,2010-07-07,-66.37,-66.581,-65.694,-67.197,8788.28,600519
121,2010-07-08,-66.738,-65.829,-65.694,-66.738,8516.41,600519
122,2010-07-09,-65.634,-63.771,-62.914,-66.288,27378.51,600519
123,2010-07-12,-63.966,-64.034,-62.088,-64.154,17834.0,600519
124,2010-07-13,-64.011,-64.905,-64.011,-65.687,7439.11,600519
125,2010-07-14,-65.018,-64.387,-63.696,-65.296,9642.66,600519
126,2010-07-15,-64.191,-63.192,-62.163,-64.304,18833.33,600519
127,2010-07-16,-63.891,-61.705,-61.306,-64.131,32949.51,600519
128,2010-07-19,-62.276,-60.209,-59.909,-62.381,19412.32,600519
129,2010-07-20,-60.074,-59.676,-59.09,-61.051,26886.19,600519
130,2010-07-21,-59.676,-58.647,-56.753,-59.676,24363.02,600519
131,2010-07-22,-57.956,-58.587,-57.956,-59.458,16221.66,600519
132,2010-07-23,-58.421,-56.521,-56.288,-58.421,38466.0,600519
133,2010-07-26,-56.521,-56.333,-54.965,-56.866,22016.91,600519
134,2010-07-27,-56.979,-55.551,-55.416,-56.979,25229.04,600519
135,2010-07-28,-55.101,-54.845,-54.777,-55.927,27740.35,600519
136,2010-07-29,-54.853,-57.49,-54.725,-57.685,45372.87,600519
137,2010-07-30,-57.595,-58.053,-57.595,-58.932,29438.77,600519
138,2010-08-02,-58.083,-54.387,-53.102,-58.083,42965.73,600519
139,2010-08-03,-54.8,-55.356,-53.448,-55.544,17573.23,600519
140,2010-08-04,-55.551,-54.034,-53.898,-55.762,17350.13,600519
141,2010-08-05,-53.989,-50.923,-50.029,-53.989,41966.13,600519
142,2010-08-06,-51.194,-50.893,-50.442,-51.644,21840.53,600519
143,2010-08-09,-50.856,-48.331,-47.873,-50.856,38703.0,600519
144,2010-08-10,-48.331,-51.975,-46.844,-52.17,28739.94,600519
145,2010-08-11,-52.546,-51.156,-50.292,-52.546,15190.63,600519
146,2010-08-12,-51.194,-50.352,-48.113,-52.388,31025.87,600519
147,2010-08-13,-50.382,-49.248,-48.444,-50.803,15775.59,600519
148,2010-08-16,-49.233,-47.362,-47.069,-49.233,25910.45,600519
